1,219295_s_at,219616_at,202065_s_at,202825_at,226324_s_at,213317_at,224952_at,201927_s_at,228749_at,227929_at,220334_at,235747_at,215779_s_at,200886_s_at,211493_x_at,227256_at,209318_x_at,202610_s_at,226733_at,207002_s_at,222809_x_at,231040_at,207943_x_at,226743_at,204233_s_at,213764_s_at,217165_x_at,230158_at,1558569_at,221642_at,1552660_a_at,225634_at
-1,5.364,6.4541,10.197,10.664,8.9559,3.628,10.059,9.0119,4.9449,4.9304,7.0353,9.3017,9.32,13.798,7.5336,8.9672,11.94,10.382,10.535,11.268,9.895,3.8858,10.949,3.1582,11.134,9.1186,10.775,2.4163,7.7627,6.607,9.8853,10.795
1,9.6629,8.7762,9.4885,10.068,9.1724,2.5107,10.351,8.8053,9.6369,5.1963,6.1502,8.0536,5.8889,14.373,7.1174,8.3873,10.608,9.8123,7.8064,10.042,9.1383,5.8452,9.5629,10.335,8.4214,1.6171,11.903,5.7887,6.2212,6.7781,9.926,10.939
1,9.4069,8.1325,9.5017,10.27,8.9429,2.6849,10.822,9.4872,5.3251,2.2163,8.6601,8.5957,4.9301,13.756,7.751,8.3719,9.21,10.373,8.9768,9.2163,8.6905,5.1354,9.2637,9.5929,10.22,1.5345,11.815,3.2713,6.4175,7.5206,10.338,11.005
-1,6.2371,5.0914,10.181,9.8462,8.4799,7.286,8.9465,9.8582,8.0321,4.5477,5.5987,8.8084,8.662,14.031,6.8435,9.6277,8.5358,10.262,9.4482,8.0676,9.9191,5.6201,8.1582,8.2951,8.4378,11.876,10.882,6.016,7.7469,6.9189,10.476,11.113
1,11.23,6.0946,10.934,9.6796,9.1113,1.8064,9.2123,8.8622,9.7807,5.2418,9.0391,8.1346,8.4857,13.99,7.0479,9.2377,8.8659,10.471,7.2765,8.4304,8.1066,10.604,8.127,9.68,10.571,0.86838,9.998,7.7253,5.8184,7.6404,9.5727,10.893
-1,6.7202,5.6245,9.5357,9.8899,9.6962,8.5752,9.4759,9.7294,7.6277,7.0179,7.2975,8.3439,9.2045,13.007,6.345,9.4772,1.8529,9.5617,9.59,2.3607,10.184,5.5935,6.1052,4.3912,11.775,3.5635,9.32,3.65,7.1243,5.7205,10.218,10.113
1,10.891,9.6698,8.5762,10.27,8.986,3.0623,10.257,8.5383,7.928,9.7657,7.1743,7.8378,7.7034,14.463,6.3704,9.2987,9.7209,10.911,7.5333,9.5742,8.856,8.1445,9.4436,3.6198,9.0021,0.57212,9.9216,7.8032,5.8983,7.1805,9.5012,10.755
-1,7.5794,5.8026,9.2826,10.184,8.6088,3.4175,8.6353,9.231,6.4547,6.9763,5.2876,8.7221,5.9689,13.955,6.8785,9.0429,3.5688,10.938,8.1521,2.0907,9.7016,4.4175,5.5182,3.5506,10.558,10.504,4.9165,4.4614,8.074,6.9152,9.4315,10.897
1,4.9441,6.499,8.6445,9.7639,8.451,2.7617,8.2555,9.4902,8.003,2.1228,4.243,8.7702,7.9673,13.869,6.546,8.169,3.8986,10.693,5.8688,0.84915,9.4314,11.629,3.4046,9.9394,9.6379,2.4586,8.7454,2.4399,5.2348,6.6569,9.9272,10.941
1,6.3896,6.2823,8.7554,9.2355,9.2052,3.8369,7.8561,9.8173,5.3301,10.847,4.487,8.2631,6.8375,14.199,6.3887,9.4428,10.378,9.8207,5.6578,9.7695,5.6733,5.3422,9.4403,10.52,9.8237,2.5283,10.042,4.7906,6.2611,7.1188,9.387,11.052
-1,5.3967,6.1578,9.1729,10.702,8.8085,4.0469,8.2442,9.726,4.9892,3.3043,4.863,8.8583,11.662,13.12,6.3304,8.3662,10.721,10.021,9.379,10.591,8.5418,3.1859,10.19,3.1846,10.009,2.8802,6.7741,3.5669,7.8002,7.0992,9.8572,11.105
1,7.7622,7.0388,8.9052,9.6274,8.4884,2.5622,8.3656,8.9092,7.3652,7.8763,4.503,8.9948,5.6416,13.785,7.0493,9.111,10.136,9.9248,6.89,9.4789,7.297,8.1912,9.3668,11.266,9.6746,1.0674,8.3775,6.3848,6.6554,7.0979,9.4484,11.272
1,8.9971,6.7968,9.3064,9.9495,7.8325,1.8058,6.1743,8.8017,7.151,4.8519,5.0612,7.3942,9.2766,13.461,7.2737,9.0885,5.2973,10.288,4.8304,4.0095,8.1187,4.7237,5.2485,2.7861,11.138,2.3871,9.6979,4.6606,7.99,7.0573,9.4174,10.904
1,11.408,5.6105,8.299,9.8682,8.4269,6.9741,10.957,9.0133,8.8821,4.737,6.6998,8.4514,8.7465,14.293,7.4282,8.726,12.579,9.7266,4.1988,12.036,7.902,10.137,11.336,10.009,7.2887,1.0997,9.8286,6.7763,7.4078,6.5734,9.8043,11.414
1,9.5273,9.3019,8.8914,9.2733,6.6572,3.2716,9.7805,9.4324,7.9044,4.3027,9.0346,8.5061,6.1408,14.358,6.6707,9.1815,9.4566,9.6593,7.3699,8.7001,8.2541,4.2017,8.6086,9.1381,8.5926,1.7555,12.888,7.6838,6.7445,7.0793,9.4592,10.687
1,6.9454,9.2426,9.1989,12.164,9.2533,4.1497,9.9682,9.0305,7.673,3.7636,6.0612,8.986,6.5957,13.927,6.4151,9.6277,2.2943,10.657,8.7085,3.4709,8.5044,3.8549,3.3551,8.8886,10.013,0.951,12.171,7.3118,7.6118,6.8806,10.531,10.941
-1,5.5599,6.3764,9.0953,11.313,9.4506,3.849,9.6389,8.6603,5.7751,4.1425,6.3335,9.0257,7.9884,13.379,6.6914,8.1897,3.8255,10.489,9.9297,2.1708,9.353,5.6783,3.6223,3.9448,10.076,1.2767,9.4482,3.6612,6.9858,7.2965,11.411,11.006
-1,8.8786,11.207,9.3441,10.979,9.3955,2.4099,9.1521,9.2941,7.9833,6.1461,6.875,8.1665,6.9491,13.08,7.3799,9.6132,6.8729,10.811,8.3301,3.7435,7.7175,7.0806,4.9963,7.6014,11.137,0.99841,9.5706,6.347,7.217,6.5443,10.602,10.328
-1,7.9442,10.14,11.336,11.11,8.503,3.8798,8.5202,9.8094,5.255,4.257,8.1587,7.5411,8.5385,13.88,7.5014,9.1792,4.0166,10.271,7.8819,2.1462,8.4062,5.4579,4.8958,4.1315,8.8193,0.063111,9.5536,7.2301,7.0337,7.1273,9.6214,10.468
-1,10.214,5.5628,9.0747,10.933,9.6239,4.4583,10.141,8.8459,8.7757,2.9068,7.6811,8.7647,6.3483,13.693,7.371,9.0576,7.7508,10.42,9.0799,7.4674,8.6346,10.363,7.2983,6.2913,10.874,1.9998,10.945,3.6474,7.4653,6.3163,9.745,11.019
-1,10.093,5.4718,10.232,12.793,9.1185,5.2123,9.1364,9.0038,7.7086,4.9255,6.8294,8.0205,6.565,14.349,7.0681,8.2874,3.9397,10.355,8.8899,1.8347,8.772,5.6885,4.3352,4.3238,10.707,1.5,8.1332,7.0765,6.3026,6.753,11.698,10.946
-1,7.4064,6.2973,9.2831,10.999,8.8763,3.5405,9.3781,9.0947,8.5986,5.1207,5.4043,9.7399,8.6329,13.191,7.0799,9.0051,2.4751,10.185,8.7751,1.4674,8.0916,4.401,5.5963,7.1167,10.416,4.3822,9.3087,6.5278,6.6623,6.2336,10.933,10.958
1,11.216,5.8101,8.7797,10.56,8.4668,2.4128,9.775,9.2567,8.5157,7.2437,7.9021,7.2193,3.7087,13.429,7.323,8.8319,7.6286,10.373,8.6216,6.9416,8.3651,6.6965,7.6867,8.7836,9.5282,2.0388,8.985,5.9191,7.6169,7.4507,10.101,11.266
-1,8.0045,6.1617,9.1896,10.352,9.4546,6.159,8.4783,10.551,4.2805,5.9984,6.1511,9.7321,6.8302,13.195,5.9817,9.67,10.376,10.831,8.4299,9.9077,9.1334,5.2975,9.9089,3.6911,9.5425,12.968,6.612,7.1121,7.4126,7.1425,9.4384,11.093
1,7.8233,7.9888,9.0948,9.4724,8.7814,4.5123,10.327,9.6266,7.0217,7.0085,7.7554,8.8816,8.1316,14.072,7.3477,9.3769,10.614,9.913,8.562,9.9798,9.1721,5.3994,9.6009,8.9455,9.2944,7.1593,11.935,7.772,6.6387,6.9835,9.5578,11.407
-1,8.5964,9.2933,8.8358,10.307,9.1774,11.41,8.9534,9.5877,7.8244,6.0288,5.4124,8.1037,11.231,13.725,7.8231,8.7525,8.9922,10.057,8.2764,8.4922,9.6666,5.7867,8.6561,7.1125,9.7476,4.0359,6.999,5.7288,6.7497,7.0711,9.8849,10.674
