1,36711_at,227870_at,202508_s_at,228181_at,201184_s_at,206833_s_at,213001_at,215821_x_at,232700_at,213004_at,205619_s_at,224740_at,227251_at,215238_s_at,225686_at,205193_at,226379_s_at,233881_s_at,231312_at,201758_at
-1,10.633,4.8153,4.6738,9.3419,11.297,9.9508,6.3339,6.0215,6.2192,6.2216,4.4158,12.965,7.3839,6.5069,10.254,8.9195,7.6726,7.5568,7.1943,11.284
1,8.2837,5.709,3.5669,9.0795,11.357,10.806,6.6925,7.1962,7.641,5.7688,3.5805,12.999,8.9306,6.6835,10.415,8.0703,7.8184,7.6915,6.2278,11.744
1,11.317,6.118,8.2692,7.5796,11.368,7.3869,6.2287,7.4487,7.1861,6.7475,5.235,13.243,7.397,6.2143,10.999,9.4025,6.7782,7.4299,5.4547,12.079
-1,14.721,4.3744,3.6537,8.1838,11.032,8.9709,5.8993,5.9381,6.2837,5.705,3.7116,11.919,7.1643,6.6614,10.529,13.007,6.8724,7.682,5.307,11.873
1,12.856,11.026,6.3235,7.0009,11.585,8.0483,10.245,7.0751,6.9618,10.079,5.0668,11.695,7.8883,7.483,10.085,10.484,6.5935,7.8063,6.2606,11.607
-1,14.881,6.1224,3.3642,8.0941,11.44,9.02,7.082,6.9217,7.2331,6.2712,2.8466,13.104,7.5224,6.2909,9.4036,13.193,7.4231,7.6877,7.3612,12.079
-1,13.871,4.9187,3.8748,8.0765,11.139,9.2891,8.9671,8.1467,6.737,8.884,3.533,13.149,7.5744,5.2305,10.825,11.579,7.1912,8.1799,7.3005,12.557
-1,13.028,5.0188,2.4679,8.4766,11.134,8.6912,6.1314,8.1696,7.0737,6.4976,2.573,12.322,7.1956,7.5403,10.839,10.395,6.4399,8.1491,7.3617,12.997
1,13.149,6.2847,3.9391,7.6863,10.875,6.8343,5.6624,7.1171,7.4354,6.8647,4.2411,12.59,7.7356,6.9289,11.631,10.83,6.5429,8.0416,6.5686,12.31
-1,12.127,6.1351,4.2252,7.2326,11.167,9.3756,9.2768,9.5672,6.7602,9.625,3.3045,12.607,7.5564,7.537,10.013,9.8772,7.4371,8.045,7.1206,11.988
1,11.904,7.5872,7.5525,7.9684,11.5,8.8138,10.041,4.9771,7.3825,10.183,4.7041,12.019,8.4456,6.2874,10.225,9.8784,7.2419,7.9985,7.1348,12.106
1,11.065,8.0077,8.9762,7.7528,11.227,7.6083,10.892,6.6091,7.4053,9.7203,7.615,12.399,7.1511,6.2255,11.034,9.096,7.3192,7.338,7.1609,11.73
-1,12.675,8.5381,8.0823,7.2405,10.843,9.1144,7.4651,10.655,6.9508,7.2529,5.5121,12.456,7.7769,6.1207,12.011,10.809,7.0769,7.5308,7.1612,12.07
1,9.6085,6.4447,3.9097,6.2085,10.705,9.3277,10.954,6.8923,7.1832,10.202,12.574,12.679,8.1263,6.8988,11.381,8.6394,7.8356,7.3481,7.5963,12.549
1,10.703,6.8586,8.0822,7.9626,11.133,8.4809,7.1212,7.1403,7.0605,7.041,9.6157,11.844,8.2164,5.4413,10.263,8.5284,6.6818,6.8329,7.2283,10.895
-1,11.072,9.0473,3.3365,8.8195,11.054,9.842,6.045,9.1572,7.2645,4.9727,3.8624,12.971,7.6483,7.7245,10.393,9.0026,7.5234,8.3051,7.065,12.225
-1,12.068,9.2312,6.5259,6.8607,11.017,9.239,7.7119,9.2957,7.1892,7.3344,2.9719,12.687,7.9141,7.0959,11.39,9.7494,7.141,7.6222,6.021,12.027
-1,11.79,5.2565,4.3342,10.403,11.019,9.6278,6.3895,7.5315,6.7245,6.501,2.8807,12.784,8.1399,6.7974,10.282,9.5859,7.391,7.7515,7.3165,11.808
-1,10.444,8.4922,7.8258,6.5481,10.806,9.4803,6.3357,7.7965,6.952,6.6747,4.3693,12.159,7.401,7.6261,10.481,8.8058,7.8081,7.7174,7.2109,11.709
-1,11.626,5.0759,3.0314,7.7507,10.657,9.9842,7.284,6.7905,7.0855,6.659,2.795,11.897,8.2396,7.5594,9.5162,9.2917,7.5674,8.4327,7.2575,12.172
1,11.697,8.982,7.9789,6.2852,10.48,8.7947,6.4981,7.1634,6.9844,6.2506,4.8359,11.631,7.8441,5.1774,10.957,9.5877,5.0434,7.6712,6.6939,11.86
-1,12.912,5.635,5.0551,10.029,9.955,9.1155,4.7305,8.186,6.0721,5.7635,4.2299,13.156,6.806,6.7068,10.727,10.685,7.319,8.2545,7.0053,12.408
1,10.121,8.8062,6.2699,7.9858,10.821,8.5925,6.7674,7.7809,7.1071,6.4693,5.7828,12.808,7.0819,6.5086,10.219,8.7684,6.7208,7.5897,5.5184,11.688
1,11.111,8.6227,6.7978,8.6371,11.571,8.9518,5.6119,5.6034,6.977,5.9409,4.4388,12.536,8.0164,5.575,11.411,9.4438,6.5621,7.3376,6.0278,12.016
1,10.754,10.025,9.37,7.4326,10.68,8.6516,8.2603,8.1524,6.9289,8.3828,6.7531,12.943,8.3422,6.4851,9.8954,8.6885,6.9938,7.8683,7.2725,11.509
-1,12.027,5.3837,7.0156,7.9953,10.555,10.231,6.7847,12.68,6.2604,6.8472,5.2281,12.817,7.4658,6.9722,9.5736,9.7214,5.9713,7.9748,6.3731,12.394
-1,11.466,10.739,6.7901,9.3417,10.935,8.5676,9.0389,8.3977,7.5092,8.7629,3.6243,12.577,7.5358,5.0763,11.181,9.422,6.9185,7.5383,6.2012,11.733
1,11.46,10.754,8.5877,7.9111,10.428,9.2852,7.6335,8.7339,6.8316,7.4993,3.8286,12.735,7.7755,8.2223,10.46,9.4735,6.9737,8.0183,6.508,12.532
