1,243862_at,220020_at,238028_at,233001_at,221496_s_at,206474_at,221954_at,232360_at,229325_at,202027_at,202648_at,224939_at,219180_s_at,220266_s_at,200053_at,202497_x_at,202179_at,200810_s_at
1,6.5677,8.8693,3.2988,7.0862,8.523,8.9481,9.4414,4.6169,9.5543,9.9911,7.685,11.614,8.631,7.5359,11.202,11.461,9.8314,11.661
-1,9.9808,8.5021,5.2198,7.7732,8.5244,7.5929,9.9568,5.6827,9.2496,10.293,5.7172,10.642,9.2423,6.7182,11.088,10.143,9.0935,11.005
-1,8.8169,10.115,5.8944,6.9587,10.406,8.1599,9.9855,5.898,9.307,11.19,6.6949,10.927,9.2947,7.3018,10.815,9.106,9.9392,11.603
-1,8.0183,8.9832,5.5309,7.4622,9.5949,7.5053,9.1975,5.1911,9.3938,11.077,5.9203,10.477,8.8166,6.2182,11.096,10.134,9.2399,11.259
1,4.9196,8.975,4.4021,6.9311,8.6498,7.9339,9.0337,4.8994,8.9301,10.252,7.4012,10.624,8.5439,5.6151,11.227,9.8095,9.6819,12.051
-1,5.8534,7.9475,5.5266,7.6045,8.5407,7.8066,9.4934,4.1196,10.278,9.6116,7.9228,11.927,8.3884,6.3447,11.786,10.996,9.9069,12.751
1,3.7838,8.7116,4.5476,6.6814,8.2467,8.5463,9.1024,5.0639,8.2512,9.7349,7.5917,11.679,7.9054,6.8548,11.245,10.742,10.329,12.484
-1,5.117,8.5254,3.9297,7.5777,9.9767,8.0368,9.6463,6.7283,9.2376,11.318,7.5017,11.032,8.6759,4.0773,11.483,4.963,10.134,13.238
-1,5.7449,8.6084,5.8217,7.2659,9.5015,8.2526,10.161,5.4069,9.3504,10.323,6.805,11.192,8.1313,7.7769,10.626,9.2008,8.6393,12.363
-1,6.6489,8.6652,7.9754,7.9468,8.8895,7.983,9.7736,8.2788,9.8245,9.5493,5.9711,11.479,9.1202,6.8035,11.12,5.4184,9.9404,11.328
